term,overlap_term
neu,"['neut', 'neut%']"
红细胞体积分布宽度,['红细胞体积分布宽度百分比']
淀粉酶,"['尿淀粉酶l', '血淀粉酶']"
db,"['tbil/dbil', 'dbil']"
so2,['so2%']
转氨酶,"['谷丙转氨酶', '谷草转氨酶', '肝转氨酶']"
tp,['tpsa']
红细胞,"['红细胞体积分布宽度', '红细胞计数', '红细胞数', '红细胞体积分布宽度百分比', '平均红细胞血红蛋白量', '平均红细胞体积', '红细胞压积']"
ne,"['neu', 'neut', 'neut%']"
钙,"['降钙素原', '肌钙蛋白', '高敏肌钙蛋白t', '高敏肌钙蛋白', '敏肌钙蛋白t']"
胆红素,"['总胆红素', '直接胆红素', '间接胆红素', 'σ胆红素']"
be,"['be(b)', 'be(ecf)']"
白蛋白,"['尿微量白蛋白', '前白蛋白']"
neut,['neut%']
隐血试验,['粪便隐血试验']
氧饱和度,['血氧饱和度']
肌钙蛋白,"['高敏肌钙蛋白t', '高敏肌钙蛋白', '敏肌钙蛋白t']"
l,"['尿淀粉酶l', 'tbil/dbil', 'lac', 'glu', 'tbil/ibil', 'ldh', 'plt', 'alt/ast', 'ibil', 'alb', 'dbil', 'lymph', 'alt', 'cl', 'tbil']"
蛋白,"['白蛋白', '肌钙蛋白', '载脂蛋白b', '糖化血红蛋白', '血红蛋白', '纤维蛋白原', '高敏肌钙蛋白t', '尿胰蛋白酶原-ii', '总蛋白', 'c反应蛋白', '球蛋白', '低密度脂蛋白胆固醇', '尿蛋白', '超敏c反应蛋白', '甲胎蛋白', '尿微量白蛋白', '平均红细胞血红蛋白量', '前白蛋白', '高敏肌钙蛋白', '蛋白质', '敏肌钙蛋白t', '甲胎蛋白测定', '血红蛋白浓度', '非高密度脂蛋白胆固醇', '高密度脂蛋白胆固醇']"
末梢血糖,"['空腹末梢血糖', '餐后末梢血糖']"
二氧化碳,"['二氧化碳分压', '二氧化碳总量']"
血红蛋,"['糖化血红蛋白', '血红蛋白', '平均红细胞血红蛋白量', '血红蛋白浓度']"
乳酸,['乳酸脱氢酶']
psa,"['tpsa', 't--psa', 'f--psa']"
血红蛋白,"['糖化血红蛋白', '平均红细胞血红蛋白量', '血红蛋白浓度']"
血糖,"['末梢血糖', '空腹末梢血糖', '空腹血糖', '餐后末梢血糖', '餐后血糖']"
凝血酶原时间,"['血浆凝血酶原时间活动度', '活化部分凝血酶原时间']"
肌酐,"['内生肌酐清除率', '血肌酐']"
cre,['crea']
血小板,"['血小板计数', '血小板总数', '血小板数']"
hco3,['hco3-']
c反应蛋白,['超敏c反应蛋白']
tb,"['tbil/dbil', 'tbil/ibil', 'tbil']"
abo,['abo血型']
po2,['spo2']
钾,['血钾']
便潜血,['大便潜血']
肌酸激酶,['肌酸激酶同工酶']
k,"['fk506', 'ck-mb', 'ck']"
ibil,['tbil/ibil']
甲胎蛋白,['甲胎蛋白测定']
磷,['碱性磷酸酶']
ph,['lymph']
中性粒细胞,"['中性粒细胞绝对值', '中性粒细胞百分比']"
隐血,"['隐血试验', '粪便隐血试验']"
na,['乙肝dna']
粒细胞,"['中性粒细胞绝对值', '中性粒细胞百分比', '中性粒细胞', '嗜酸性粒细胞百分比']"
白细胞,"['白细胞总数', '白细胞数', '白细胞计数', '外周血白细胞']"
n,"['neu', 'ne', 'nse', 'neut', 'bun', 'tnt-hsstt', 'neut%', 'inr', '乙肝dna', 'bnp', 'na']"
rhd,['rhd血型']
dbil,['tbil/dbil']
高敏肌钙蛋白,['高敏肌钙蛋白t']
尿素,['尿素氮']
hp,['hpv']
ck,['ck-mb']
mch,['mchc']
敏肌钙蛋白t,['高敏肌钙蛋白t']
hb,['hbcab']
pt,['aptt']
碳酸氢根,"['标准碳酸氢根', '实测碳酸氢根']"
tt,"['tnt-hsstt', 'aptt']"
碱剩余,"['细胞外液碱剩余', '全血碱剩余']"
alt,['alt/ast']
ast,['alt/ast']
高密度脂蛋白胆固醇,['非高密度脂蛋白胆固醇']
tbil,"['tbil/dbil', 'tbil/ibil']"
ca,"['ca-125', 'ca72.,4', 'ca-199', 'ca72-4', 'ca15-3', 'ca叒724', 'ca724', 'ca153', 'ca125', 'ca74-2', 'ca72.4', 'ca叒199', 'ca242', 'ca19-9', 'ca199', 'hbcab', 'ca叒242']"
cea,['cea叒30']
