term,overlap_term
肝脏mr,"['肝脏mrs', '肝脏mri']"
血管造影,['肝血管造影']
盆腔mri,"['上腹部盆腔mri', '腹盆腔mri']"
pet,"['全身,pet-ct', 'pet/ct', 'pet及ct', 'pet-ct', '盆腔ct及petct', 'petct', 'pet/,ct']"
盆腔mr,"['盆腔mri', '上腹部盆腔mri', '盆腔mr平扫+,增强', '腹盆腔mri']"
cta,"['冠脉cta', '头颈部cta', '髂总动脉cta', '两上肢cta', '腹部血管cta']"
盆腔b超,['腹盆腔b超']
mr,"['肝脏mr', '盆腔mri', '盆腔mr', '上腹部盆腔mri', '腹腔mri', 'mri检查', '腹盆mri', '头mri', '腹部mri', '腹部增强mri+mrcp', '盆腔mr平扫+,增强', 'mri', '盆腔,mri', '肛周mr', '胸腹mr', '颈部,mri', '腹盆腔mri', '骨mri', '肝mri', '颅脑mr', '盆mri', '头颅(mri平扫+增强)', '头部mri', '盆腔增强mr', '下腹mri', '腹盆mr', '头颅mri', '肝脏mrs', '腹部mr', '肝脏mri', '腹部增强mri', '颈部mri', '下腹部mri', '盆腹mri', '增强mr', 'mrcp', '腹部mri+mrcp', '脑部mri']"
"胸,ct","['腹盆腔、胸,ct']"
"盆腔,ct","['腹盆腔,ct', '胸部、下腹、上腹部、盆腔,ct']"
消化道造影,['下消化道造影']
超声,"['超声胃镜', '肝胆脾胰超声', '盆腔超声', '腹部超声', '肝脏超声', '超声内镜', '颈部超声', '乳腺超声']"
腹部彩超,['下腹部彩超']
颈部ct,['头颈部cta']
ect,"['spect', '全身骨ect']"
肺ct,['脑、肺ct']
腹部mri,"['下腹部mri', '腹部mri+mrcp']"
pet-ct,"['全身,pet-ct']"
腹部ct,"['全腹部ct', '上腹部ct', '腹部ct增强', '下腹部ct平扫+增强', '胸腹部ct', '胸部、腹部ct', '颈部及下腹部ct', '鼻咽、,颈部及下腹部ct', '腹部ct平扫+,增强', '下腹部ct', '胸、,下腹部ct']"
腹部增强ct,"['下腹部增强ct', '全腹部增强ct']"
mri,"['盆腔mri', '上腹部盆腔mri', '腹腔mri', 'mri检查', '腹盆mri', '头mri', '腹部mri', '腹部增强mri+mrcp', '盆腔,mri', '颈部,mri', '腹盆腔mri', '骨mri', '肝mri', '盆mri', '头颅(mri平扫+增强)', '头部mri', '下腹mri', '头颅mri', '肝脏mri', '腹部增强mri', '颈部mri', '下腹部mri', '盆腹mri', '腹部mri+mrcp', '脑部mri']"
胸腹ct,['脑胸腹ct']
"腹部,ct","['胸、腹部,ct', '下腹部,ct', '颈胸腹部,ct']"
心电图,"['动态心电图', '床旁心电图']"
颈部及下腹部ct,"['鼻咽、,颈部及下腹部ct']"
petct,['盆腔ct及petct']
胸部ct,"['胸部ct平扫+,增强', '头胸部ct', '颈部胸部ct', '腹胸部ct', '头颅及胸部ct', '胸部ct提', '胸部ct平扫', '胸部ct增强']"
盆mri,['腹盆mri']
腹盆ct,['胸腹盆ct']
ct,"['腹、盆,ct', '胸部+全腹ct', '全身,pet-ct', '胸腹盆ct', '胸/盆ct', '胸、腹部,ct', '胸部(ct平扫)', 'spect', '头ct', '颈胸部部ct', '全腹增强ct', '颈部胸部下腹部上腹部盆腔ct', 'cta', '心脏ct', '脑胸腹ct', '胸ct', '胸部ct平扫+,增强', 'pet/ct', '胸,ct', '盆腹ct', '头胸部ct', '下腹部,ct', '盆腔,ct', 'pet及ct', '全腹部ct', '腹盆增强ct', '颈部胸部ct', '颈部ct', 'ect', '上腹部ct', '腹部ct增强', '颈胸腹部,ct', '腹部(ct平扫+增强)', '肺ct', 'pet-ct', '腹部ct', '腹部增强ct', '下腹部ct平扫+增强', 'hrct', '全腹ct+增强', '胸腹ct', '盆腔ct及petct', '腹部,ct', '腹盆部,ct', '盆、腹腔ct平扫+增强', '冠脉cta', '胸腹部ct', '胸部、腹部ct', 'ctv检查', '颈部及下腹部ct', 'petct', 'pet/,ct', '腹盆,ct', '腹胸部ct', '鼻咽、,颈部及下腹部ct', '腹盆腔强化ct', '脑、肺ct', '胸部ct', '胸部+全腹部+盆腔ct', '颈部+胸部,ct', '胸部增强ct', '下腹ct平扫+增强', '腹盆ct', '头颈部cta', '下腹部增强ct', '盆腔ct', '颈部,ct', '全腹部增强ct', '髂总动脉cta', '腹部ct平扫+,增强', 'ct检查', '颅脑增强,ct', '下腹部ct', 'ctu', '胸部,ct', '腹盆叒,ct', '头颅及胸部ct', '腹盆腔、胸,ct', '基线ct', '肺腹ct', '胸+下腹,ct', '胆囊术后ct', '头颅ct', '胸、,下腹部ct', '胸部ct提', '腹盆腔,ct', '两上肢cta', '腹盆部ct', '肺部ct', '胸部ct平扫', '胸、腹、,盆腔ct', '腹部血管cta', '盆腹,ct', '胸下腹ct', '腹盆腔ct', '胸部ct增强', '头部ct', '全腹ct', '腹ct', '胸部、下腹、上腹部、盆腔,ct', '全身骨ect']"
盆腔ct,"['颈部胸部下腹部上腹部盆腔ct', '盆腔ct及petct', '胸部+全腹部+盆腔ct', '胸、腹、,盆腔ct', '腹盆腔ct']"
下腹部ct,"['下腹部ct平扫+增强', '颈部及下腹部ct', '鼻咽、,颈部及下腹部ct', '胸、,下腹部ct']"
"胸部,ct","['颈部+胸部,ct']"
腹盆mr,['腹盆mri']
腹部mr,"['腹部mri', '下腹部mri', '腹部mri+mrcp']"
b超,"['腹盆腔b超', '腹b超', '盆腔b超', '腹部b超', '腹盆b超', '锁骨下b超', '颈部b超']"
腹部增强mri,['腹部增强mri+mrcp']
增强mr,"['腹部增强mri+mrcp', '盆腔增强mr', '腹部增强mri']"
mrcp,"['腹部增强mri+mrcp', '腹部mri+mrcp']"
胸部ct平扫,"['胸部ct平扫+,增强']"
彩超,"['上肢静脉彩超', '下腹部彩超', '上肢动静脉彩超', '颈动脉彩超', '上肢深静脉彩超', '腹部彩超', '盆腔彩超', '阴道彩超', '上肢彩超', '两上肢血管彩超', '心脏彩超', '妇科彩超']"
全腹ct,"['胸部+全腹ct', '全腹ct+增强']"
腹ct,"['胸部+全腹ct', '脑胸腹ct', '盆腹ct', '全腹ct+增强', '胸腹ct', '下腹ct平扫+增强', '肺腹ct', '胸下腹ct', '全腹ct']"
