term,overlap_term
右乳癌改良根治术,['右乳癌改良根治术+右锁骨下淋巴结活检术']
回纳术,"['造瘘肠段回纳术', '造口回纳术', '乙状结肠造口回纳术']"
b-ii重建,['远端胃切除+b-ii重建+空肠braun吻合']
姑息性直肠癌切除术,['腹腔镜上姑息性直肠癌切除术(hartmann)+乙状结肠造瘘术']
胃癌切除术,"['残胃癌切除术+复杂肠粘连松解术+roux-en-y吻合术', '根治性残胃癌切除术']"
miles术,"['直肠癌根治术(miles术式)', 'miles术+肝转移灶切除', '直肠miles术', '腹腔镜直肠癌根治术(miles术)+肠粘连松解术']"
肝癌切除术+胆囊切除术,"['肝癌切除术+胆囊切除术+门静脉置泵术', '肝癌切除术+胆囊切除术+胆总管切开取栓术']"
腹腔热灌注化疗术,['左半结肠切除+乙状结肠部分切除+盆腔结节切除+腹腔热灌注化疗术']
rfa,"['肝rfa', '肝转移瘤rfa术', 'rfa术']"
腹腔镜辅助上根治性全胃切除术,['腹腔镜辅助上根治性全胃切除术+食管空肠roux-y吻合术(d2)']
根治性左半结肠切除术,"['腹腔镜上扩大根治性左半结肠切除术', '剖腹探查+肠减压+根治性左半结肠切除术', '腹腔镜扩大根治性左半结肠切除术', '根治性左半结肠切除术+胆总管探查术']"
空肠造瘘术,"['胸腹腔镜联合翻身三切口全胸段食管切除+食管-胃底右颈吻合+空肠造瘘术', '翻身三切口食管下段癌切除+食管-胃底右颈部吻合+第6后肋内固定+空肠造瘘术', '胰十二指肠切除、联合胰腺体颈部切除、胃造瘘、空肠造瘘术', '胰头肿物切除、肝肿物切除、小肠憩室切除、胰肠吻合、空肠造瘘术', '肠粘连松解术+空肠造瘘术']"
腹腔镜上直肠癌根治术(dixon),['腹腔镜上直肠癌根治术(dixon)+末端回肠造口术']
乙状结肠造瘘,"['腹腔镜上直肠部分切除术(姑息性)+乙状结肠造瘘术', '腹腔镜上姑息性直肠癌切除术(hartmann)+乙状结肠造瘘术', '腹腔镜上探查+中转开腹姑息性直肠癌切除+乙状结肠造瘘术', '乙状结肠癌姑息切除+近端乙状结肠造瘘+小肠部分切除吻合术', 'hartmann+乙状结肠造瘘术']"
dixon术,"['腹腔镜dixon术', '肿瘤细胞减灭术(全子宫+两附件切除术+大网膜切除术+dixon术+回盲部切除术)', '直肠癌根治术(dixon术)', '腹腔镜上dixon术', '腹腔镜右半结肠切除术+dixon术', '经腹直肠癌根治术(dixon术)', '经腹腔镜直肠癌dixon术', '腹腔镜dixon术,左侧附件切除术', '腹腔镜直肠癌根治术(dixon术)', '子宫切除+两附件切除+dixon术+大网膜切除术开腹恶性肿瘤特殊治疗术']"
胃肠吻合术,"['胆囊切除+胆肠吻合+胃肠吻合术', '左半结肠切除术、胃肠吻合术']"
胃癌姑息性切除术,['胃癌姑息性切除术(远端胃大部切除+毕i式吻合)']
直肠息肉电切,['全结肠切除术+远端直肠息肉电切术']
上肢动脉置管溶栓术,"['右上肢动脉造影+右上肢动脉置管溶栓术', '右侧上肢动脉pta+stent+右上肢动脉置管溶栓术']"
远端胃切除,"['远端胃切除术', '腹腔镜上根治性远端胃切除术', '根治性远端胃切除、胃空肠roux-y吻合术', '远端胃切除+b-ii重建+空肠braun吻合']"
肝转移灶射频消融术,['左肝转移灶射频消融术']
左侧附件切除术,"['腹腔镜dixon术,左侧附件切除术']"
腹腔镜上直肠根治术(dixon手术),['腹腔镜上直肠根治术(dixon手术)中转开腹+膀胱病损修补术']
ptcd引流,['更换ptcd引流管']
tace,"['dsa上选择性肝动脉造影及tace术', 'tace+肝动脉留管', '肝动脉tace术', '肝癌介入治疗(tace)', 'tace术', '肝动脉栓塞化疗(tace)术', 'dsa上选择性肝动脉造影+tace术']"
气管切开,['气管切开术']
远端胃切除术,['腹腔镜上根治性远端胃切除术']
胃空肠吻合术,"['大网膜切除+胃空肠吻合术+回肠-横结肠吻合术', '剖腹探查术+胃空肠吻合术', '剖腹探查+胃窦肿物活检术+胃空肠吻合术']"
剖腹探查术,"['剖腹探查术+姑息性降结肠肿瘤切除术+降结远端封闭、近端造口术', '剖腹探查术+胃空肠吻合术', '剖腹探查术、腹盆腔冲洗、回肠造瘘术、腹盆腔置管引流术', '剖腹探查术+回肠造瘘术', '胆道探查术+t管引流术+胆道镜取石术+腹腔粘连松解术+剖腹探查术']"
腹腔镜dixon,"['腹腔镜dixon术', '腹腔镜dixon+开腹肝转移瘤切除术', '腹腔镜dixon+回肠造瘘术', '腹腔镜dixon术,左侧附件切除术']"
根治性全胃切除术,"['腹腔镜辅助上根治性全胃切除术', '根治性全胃切除术+食管-空肠吻合术后,吻合口瘘', '腔镜上根治性全胃切除术+食管空肠roux-y吻合术(d2)+脾切除术', '腹腔镜上根治性全胃切除术', '腹腔镜上根治性全胃切除术roux-en-yd2r0', '剖腹探查、根治性全胃切除术、食管-空肠roux-en-y吻合术', '腹腔镜中转-根治性全胃切除术', '根治性全胃切除术+食管空肠roux-y吻合术(d2)', '腹腔镜辅助上根治性全胃切除术+食管空肠roux-y吻合术(d2)', '腹腔镜上根治性全胃切除术+胆囊切除术', '腹腔镜根治性全胃切除术', '根治性全胃切除术(食道空肠roux-y吻合、d2、r0)', '根治性全胃切除术(食管空肠roux-y吻合、d2+、r0)']"
肝转移瘤微波消融术,['肝转移瘤微波消融术+放射性i125粒子植入术']
远端胃大部切除+roux-en-y重建,['胃癌根治术(远端胃大部切除+roux-en-y重建)']
结肠息肉电切术,"['乙状结肠息肉电切术', '内镜上结肠息肉电切术']"
造口回纳术,['乙状结肠造口回纳术']
腹腔镜dixon术,"['腹腔镜dixon术,左侧附件切除术']"
"根治性远端胃大部切除术(毕ii式,d2)","['腹腔镜辅助上根治性远端胃大部切除术(毕ii式,d2)']"
直肠肿物切除术,['经肛直肠肿物切除术']
腹腔镜辅助胃癌根治术,['(远端)腹腔镜辅助胃癌根治术']
腹腔镜上直肠癌根治术(miles),"['腹腔镜上直肠癌根治术(miles)+放射粒子植入术', '腹腔镜上直肠癌根治术(miles)+放射性粒子植入术']"
stent术,['右侧上肢动脉pta+stent术']
宫颈锥切术,['冷刀宫颈锥切术']
肝转移瘤切除术,"['腹腔镜dixon+开腹肝转移瘤切除术', '直肠癌根治+肝转移瘤切除术']"
左半结肠切除术,"['腹腔镜上左半结肠切除术(扩大根治)', '左半结肠切除术+有附件切除术', '根治性左半结肠切除术', '扩大左半结肠切除术', '腹腔镜探查、左半结肠切除术', '全麻上剖腹探查、左半结肠切除术', '腹腔镜上扩大根治性左半结肠切除术', '姑息性左半结肠切除术', '“左半结肠切除术+回肠减压”术', '左半结肠切除术+左侧卵巢切除术+盆底结节切除术+腹腔热灌注化疗', '剖腹探查+肠粘连松解+左半结肠切除术', '腹腔镜左半结肠切除术+tem', '腹腔镜左半结肠切除术', '剖腹探查+肠减压+根治性左半结肠切除术', '腹腔镜上左半结肠切除术', '腹腔镜扩大根治性左半结肠切除术', '根治性左半结肠切除术+胆总管探查术', '左半结肠切除术+淋巴结清扫术', '左半结肠切除术、胃肠吻合术']"
肠息肉电切术,"['乙状结肠息肉电切术', '结肠息肉电切术', '全结肠切除术+远端直肠息肉电切术', '内镜上结肠息肉电切术']"
阑尾切除术,"['左肾根治性切除+肾周粘连松解+肠粘连松解+阑尾切除术+腹膜后淋巴结活检术', '经腹行全子宫切除术+两侧附件切除术+大网膜部分切除术+阑尾切除术', '经腹全子宫+两附件切除术+阑尾切除术+大网膜切除+左侧淋巴结清扫术+盆腔粘连松解', '经腹腹膜外子宫切除+两附件切除+全盆腹膜切除+盆腔淋巴结清扫+腹主动脉旁淋巴结清扫+阑尾切除术', '乙状结肠部分切除、乙状结肠单腔造瘘,阑尾切除术', '剖腹探查+术中灌肠+dixon+阑尾切除术', '腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2)+阑尾切除术', '全子宫、两附件、大网膜及阑尾切除术', '全子宫切除、两侧骨盆漏斗韧带高位结扎、大网膜、阑尾切除术']"
ercp+胆管支架植入术,['行ercp+胆管支架植入术']
肝肿瘤射频消融,['b超引导上肝肿瘤射频消融毁损术']
改良根治术,"['右乳癌改良根治术', '右乳癌改良根治术+右锁骨下淋巴结活检术', '左侧乳腺癌改良根治术']"
结肠癌根治术,"['结肠癌根治术+放射性粒子置入术', '左半结肠癌根治术', '降结肠癌根治术', '腹腔镜上直乙交界处结肠癌根治术', '剖腹探查、结肠癌根治术、肠粘连松解术', '升结肠癌根治术', '腹腔镜上腹腔探查术+中转开腹+术中冰冻活检+乙状结肠癌根治术+小肠部分切除术、肠吻合术', '腹腔镜上腹腔探查术、中转开腹,右半结肠癌根治术、小肠系膜结节活检、开腹肿瘤特殊治疗、肠粘连松解术', '腹腔镜辅助上乙状结肠癌根治术', '腹腔镜上乙状结肠癌根治术', '乙状结肠癌根治术']"
食管癌根治术,['机器人辅助上三切口食管癌根治术']
内镜上息肉切除,"['结肠多发息肉内镜上息肉切除术', '内镜上息肉切除术']"
直肠癌根治切除术,['腹腔镜直肠癌根治切除术']
