term,overlap_term
fudr,['fudr(氟脲苷)']
fu,"['fudr', '5-fu', '5-,fu', 'fudr(氟脲苷)', '5fu']"
xel,"['xeloda', 'xelox']"
氢氯噻嗪,"['厄贝沙坦氢氯噻嗪', '厄贝沙坦氢氯噻嗪片']"
亚叶酸,"['右亚叶酸钙', '亚叶酸钙(同奥)', '亚叶酸钙']"
氨氯地平,"['右旋氨氯地平片(施慧达)', '苯磺酸右旋氨氯地平']"
ddp,['cddp']
螺内酯,['螺内酯片']
卡培他滨,"['卡培他滨片', '卡培他滨(希罗达)']"
艾恒,['奥沙利铂(艾恒)']
雷贝拉唑,['雷贝拉唑肠溶片']
艾奕,['替吉奥胶囊(艾奕)']
替吉奥胶囊,['替吉奥胶囊(艾奕)']
阿司匹林,"['阿司匹林肠溶片', '拜阿司匹林']"
奥硝唑,['奥硝唑氯化钠']
环磷酰胺,['异环磷酰胺']
硝酸异山梨酯,"['单硝酸异山梨酯', '单硝酸异山梨酯缓释片']"
紫杉醇,"['紫杉醇脂质体', '脂质体紫杉醇', '白蛋白紫杉醇']"
谷胱甘肽,['还原型谷胱甘肽']
吉西他滨,['盐酸吉西他滨']
坎地沙坦,['坎地沙坦酯片']
奥美拉唑,['艾司奥美拉唑镁肠溶片']
醋酸泼尼松,['醋酸泼尼松片']
泼尼松,"['醋酸泼尼松片', '醋酸泼尼松']"
厄贝沙坦氢氯噻嗪,['厄贝沙坦氢氯噻嗪片']
哌拉西林,['哌拉西林他坐巴坦']
诺和锐,['诺和锐30']
甘精胰岛素,['重组甘精胰岛素注射液(长秀霖笔芯)']
右氧氟沙星,['乳酸右氧氟沙星']
泰素,['泰素帝']
阿卡波糖,['阿卡波糖片']
盐酸伊立替康,['盐酸伊立替康注射液']
胰岛素,"['重组甘精胰岛素注射液(长秀霖笔芯)', '门冬胰岛素', '甘精胰岛素']"
替吉奥,"['替吉奥胶囊', '替吉奥胶囊(艾奕)']"
沙丁胺醇,['沙丁胺醇气雾剂']
替普瑞酮,['替普瑞酮胶囊']
碘油,['超液化碘油']
呋塞米,['呋塞米片']
乐沙定,['行乐沙定']
头孢,"['头孢他啶', '头孢替安', '头孢唑肟钠', '头孢美唑钠', '头孢呋辛', '头孢哌酮钠', '头孢克肟胶囊', '头孢唑肟']"
阿托伐他汀,['阿托伐他汀钙']
开普拓,['伊立替康(开普拓)']
多吉美,['索拉菲尼(多吉美)']
希罗达,"['卡培他滨(希罗达)', '始希罗达']"
同奥,['亚叶酸钙(同奥)']
奥沙利铂,['奥沙利铂(艾恒)']
消渴丸,['消渴丸降糖']
单硝酸异山梨酯,['单硝酸异山梨酯缓释片']
sp,['tspa']
贝伐,['贝伐珠单抗']
多柔比星,"['多柔比星脂质体', '脂质体多柔比星']"
耐信,['耐信片']
s-1,['ts-1']
厄贝沙坦,"['厄贝沙坦氢氯噻嗪', '厄贝沙坦氢氯噻嗪片']"
亚叶酸钙,"['右亚叶酸钙', '亚叶酸钙(同奥)']"
头孢唑肟,['头孢唑肟钠']
伊立替康,"['盐酸伊立替康注射液', '伊立替康(开普拓)', '盐酸伊立替康']"
二甲两胍,['二甲两胍缓释片']
沙利铂,"['奥沙利铂(艾恒)', '奥沙利铂']"
