term,overlap_term
骨骼,['周身骨骼']
两侧盆腔,['两侧盆腔淋巴结']
下段食管,"['胸下段食管', '(下段食管旁)淋巴结']"
两侧腹股沟,"['右锁骨下、两侧腹股沟淋巴结', '两侧腹股沟淋巴结']"
神经,"['(左喉返喉返神经神经旁)淋巴结', '(右喉返喉返神经旁)淋巴结', '左喉返神经旁旁淋巴结', '(左喉返旁神经)淋巴结', '(颈部右喉返喉返神经旁)淋巴结', '左喉返神经旁淋巴结', '(左喉返喉返神经旁)淋巴结']"
左髂总,"['左髂总淋巴结', '右髂总及左髂总淋巴结', '(左髂总)淋巴结', '右左髂总、右左髂外、左闭孔淋巴结']"
肝内胆管,"['肝左叶肝内胆管', '肝左左叶肝内胆管']"
眼,"['两眼', '两眼睑', '眼睑']"
左闭孔淋巴结,['右左髂总、右左髂外、左闭孔淋巴结']
管腔,['食管腔']
小弯侧,"['小弯侧淋巴结', '小弯侧胃', '胃窦部小弯侧', '胃体小弯侧', '贲门小弯侧', '胃体前壁偏小弯侧', '胃窦小弯侧', '小弯侧大弯侧淋巴结', '胃小弯侧胃角', '胃体小弯侧前壁', '贲门胃体下段小弯侧', '胃周小弯侧', '胃小弯侧', '胃大小弯侧', '胃小弯侧淋巴结', '胃小弯侧胃壁']"
顶叶,"['右侧额顶叶', '两侧额顶叶']"
膈肌,['右侧膈肌脚']
ln,"['隆突上ln', '右锁骨下ln']"
右肺门,['右肺门淋巴结']
两髂,['两髂血管']
口咽部,['口咽部双侧腺体']
横结肠中段,['横结肠中段偏左']
消化道,['下消化道']
锁骨下窝,"['左侧锁骨下窝淋巴结', '右锁骨下窝', '左侧锁骨下窝', '右侧腋窝、两侧锁骨下窝、胸骨下窝小淋巴结']"
肠系膜根部淋巴结,['小肠系膜根肠系膜根部淋巴结']
右颈,"['右颈部', '右颈根部', '右颈转移淋巴结', '右颈肿大淋巴结', '右颈根', '右颈部v区', '右颈ii区淋巴结', '右颈部至锁骨下', '右颈至锁骨下', '右颈iv、v叒区淋巴结']"
右侧腹股沟,['(右侧腹股沟)淋巴结']
足,"['右足底', '右第1、2足趾', '右足第1、2趾远端', '右足', '足底', '左足', '手足', '左足第三趾', '两上肢足背动脉']"
阴道,"['阴道穹窿', '阴道口', '阴道壁']"
气管,"['气管隆突前淋巴结', '气管旁', '肺内血管支气管束', '左下气管', '右侧气管食管沟及隆突上淋巴结', '左侧气管食管沟', '右侧气管食管沟', '支气管', '两侧气管食管沟小淋巴结', '气管右侧旁淋巴结', '两上气管']"
腹膜后,"['腹膜后多发小淋巴', '腹膜后多发淋巴结', '腹膜后小淋巴结', '腹膜后淋巴结', '肠系膜及腹膜后淋巴结']"
直肠下动脉,"['(直肠下动脉根部)淋巴结', '直肠下动脉旁染色淋巴结2', '直肠下动脉旁染色淋巴结1', '直肠下动脉旁淋巴结', '淋巴结可见癌转移(肠周1/13,直肠下动脉旁0/1)']"
两眼,['两眼睑']
肝右叶,['肝右叶内侧段']
肺动脉,['肺动脉瓣']
肛提肌,['右侧肛提肌']
纵隔,"['右锁骨下区、纵隔、左肺门淋巴结', '纵隔淋巴结', '后纵隔', '纵隔、腋上淋巴结', '纵隔及左肺门淋巴结', '纵隔内龙突上', '纵隔及两锁骨下淋巴结', '纵隔内', '左前纵隔', '左前纵隔淋巴结', '颈根部及下中纵隔食管']"
中间组(1个)淋巴结,['一站(5个)、中央组(11个)、中间组(1个)淋巴结']
盆腔淋巴结,"['左侧盆腔淋巴结', '右、左盆腔淋巴结', '左盆腔淋巴结', '右盆腔淋巴结', '两侧盆腔淋巴结']"
骶韧带,"['两侧骶韧带', '宫骶韧带']"
右肺上叶,"['右肺上叶内前基底段', '右肺上叶背段']"
面,"['两膈面', '肝表面', 's6近脏面', '骶髂关节面', '肝左叶近膈面', '肝膈面', '颜面', '左肝vii段膈面', '颜面部', '阑尾浆膜面', '左膈面', '面部', '头面']"
