term,frequency
cea,89
ca199,44
白细胞,43
afp,35
wbc,30
血小板,30
ca125,27
hb,26
中性粒细胞百分比,21
血糖,19
尿素,19
plt,19
血红蛋白浓度,18
alt,18
ast,17
肌酐,17
ca724,16
血红蛋白,15
血肌酐,14
总胆红素,14
钾,13
直接胆红素,12
红细胞,12
谷草转氨酶,12
ph,12
nse,11
氯,11
钠,10
尿酸,9
肌酸激酶同工酶,8
hgb,8
乳酸脱氢酶,8
间接胆红素,8
间接coomb’s试验,7
中性粒细胞,7
红细胞压积,7
葡萄糖,7
n,6
淋巴细胞百分比,6
po2,6
pco2,6
ef,6
rbc,6
乳酸,6
新生儿g6pd活性试验,6
肌酸激酶,6
ca72.4,6
ca242,5
dbil,5
tbil,5
ca72-4,5
二氧化碳分压,5
尿素氮,5
红细胞计数,5
paco2,5
血钾,5
k,5
酮体,5
pao2,5
高敏肌钙蛋白t,5
癌胚抗原,5
ca19-9,5
大便潜血,4
乙肝表面抗原定性,4
血小板计数,4
ggt,4
白细胞计数,4
crea,4
c反应蛋白,4
末梢血糖,4
na,4
胆红素,4
中性粒细胞绝对值,4
d_2聚体,4
乙肝核心抗体定性,4
标准碳酸氢根,4
ne,4
氧分压,4
酸碱度,4
hpv,4
隐血试验,4
bun,4
高敏肌钙蛋白,4
alt/ast,3
谷氨酰转肽酶,3
大便常规,3
前列腺特异性抗原,3
crp,3
总胆汁酸,3
甘油三酯,3
cl,3
aptt,3
白球比,3
psa,3
总胆固醇,3
尿糖,3
乙肝dna,3
alb,3
内生肌酐清除率,3
空腹末梢血糖,3
甲状旁腺激素,3
癌抗原199,3
碳酸氢根,3
白细胞总数,3
全血碱剩余,3
血氧饱和度,3
be,3
白细胞数,3
甲胎蛋白,3
空腹血糖,3
tb,3
scc,3
白蛋白,3
ca-125,3
碱性磷酸酶,2
血淀粉酶,2
neut%,2
凝血酶原时间,2
癌抗原125,2
国际标准化比值,2
叶酸,2
糖化血红蛋白,2
低密度脂蛋白胆固醇,2
neut,2
蛋白,2
r-gt,2
"a/,g",2
cb,2
血小板总数,2
丙氨酸氨基转换酶,2
尿蛋白,2
neu,2
ibil,2
谷丙转氨酶,2
纤维蛋白原,2
ua,2
降钙素原,2
lac,2
hco3-,2
粒细胞,2
pt,2
hct,2
inr,2
隐血,2
二氧化碳总量,2
ldh,2
ca153,2
总蛋白,1
便潜血,1
fk506,1
痰培养,1
ca-199,1
血沉,1
ca15-3,1
血清人绒毛膜促性腺激素测定,1
甲胎蛋白测定,1
c13呼气试验,1
hbcab,1
hepotocyte,1
f/t,1
"ca72.,4",1
血常规,1
蛋白质,1
he4叒&gt,1
核酸检测,1
前白蛋白,1
ca74-2,1
肝转氨酶,1
餐后末梢血糖,1
餐后血糖,1
谷氨酸脱羧酶抗体阳性,1
胰岛素(空腹),1
丙氨酸氨基转移酶,1
门冬氨酸氨基转移酶,1
ca叒242,1
淋巴细胞计数,1
tpsa,1
cyfra21-1,1
mch,1
尿胰蛋白酶原-ii,1
尿淀粉酶l,1
tp,1
abo,1
rhd,1
mcv,1
mchc,1
转氨酶,1
碱剩余,1
超敏c反应蛋白,1
hp,1
lymph,1
abo血型,1
rhd血型,1
比重,1
鳞状下皮细胞,1
spo2,1
敏肌钙蛋白t,1
血红蛋,1
球蛋白,1
d-二聚体,1
肌钙蛋白,1
血红素,1
σ胆红素,1
γ-谷氨酰胺转移酶,1
癌抗原242,1
癌抗原72.4,1
cre,1
tbil/ibil,1
tbil/dbil,1
ca叒199,1
ca叒724,1
c肽(2h),1
cea叒30,1
血小板数,1
hco3,1
活化部分凝血酶原时间,1
tco2,1
凝血酶时间,1
tt,1
红细胞数,1
bnp,1
胰岛素(2h),1
维生素b12,1
fib,1
血清铁,1
总铁结合力,1
d-d,1
tnt-hsstt,1
sbc,1
磷,1
钙,1
二氧化碳,1
be(ecf),1
be(b),1
so2%,1
glu,1
ca,1
粪便隐血试验,1
红细胞体积分布宽度百分比,1
红细胞体积分布宽度,1
平均红细胞血红蛋白量,1
平均红细胞体积,1
t--psa,1
淋巴细胞绝对值,1
f--psa,1
so2,1
ck-mb,1
ck,1
同型半胱氨酸,1
c肽(空腹),1
实测碳酸氢根,1
细胞外液碱剩余,1
血浆d二聚体测定,1
活化部分凝血活酶比率,1
活化部分凝血活酶时间,1
组织多肽抗原,1
非高密度脂蛋白胆固醇,1
高密度脂蛋白胆固醇,1
血浆凝血酶原时间活动度,1
幽门杆菌监测,1
脂肪酶,1
淀粉酶,1
db,1
cer,1
外周血白细胞,1
幽门螺旋杆菌抗体,1
药敏,1
l,1
胸水一般细菌涂片,1
抗酸杆菌,1
腺苷脱氨酶测定,1
氧饱和度,1
尿培养,1
尿胆原,1
尿微量白蛋白,1
幽门螺旋杆菌染色,1
载脂蛋白b,1
射血分数,1
urea,1
嗜酸性粒细胞百分比,1
