term,frequency
ct,210
腹部ct,60
胸部ct,51
pet-ct,38
心电图,30
腹部彩超,29
mri,28
胸片,27
pet/ct,25
心脏彩超,25
b超,23
mr,19
腹盆ct,19
下腹部ct,11
"腹部,ct",11
腹部血管dsa,10
超声,9
胸ct,9
彩超,9
腹部b超,8
全腹ct,7
腹部mri,7
腹ct,6
腹部超声,6
盆腔mri,6
"腹盆,ct",5
头颅ct,5
冠脉造影,5
盆腔ct,5
"pet/,ct",5
盆腔mr,5
盆腔b超,4
"盆腔,mri",4
胸腹盆ct,4
mrcp,4
头颅mri,4
核磁,4
"b,超",4
颈部b超,3
腹盆腔ct,3
胆管造影,3
胸腹部ct,3
pet,3
腹部立位平片,3
腹部平片,3
petct,3
血管造影,3
肺部ct,3
腹部增强ct,3
上肢静脉造影,3
下腹部mri,3
下消化道造影,3
"胸,ct",3
全腹部增强ct,3
腹盆mr,3
"腹盆部,ct",2
上肢静脉彩超,2
胸部ct增强,2
肝脏mri,2
腹部mr,2
t管造影,2
腹平片,2
pet及ct,2
肝血管造影,2
胸部cr,2
胸腹ct,2
肺ct,2
下腹部平扫,2
腹盆部ct,2
头部ct,2
mri检查,2
脑、肺ct,2
颈动脉彩超,2
胸部+全腹ct,2
"胸部ct平扫+,增强",2
全腹增强ct,2
妇科彩超,2
腹部立位片,2
盆腔增强mr,1
胸部增强ct,1
腹盆b超,1
颈部超声,1
cta,1
盆腔超声,1
胸/盆ct,1
胸部正位片,1
"腹部ct平扫+,增强",1
"颅脑增强,ct",1
"颈部,ct",1
上肢彩超,1
"腹盆腔,ct",1
盆、腹腔ct平扫+增强,1
基线ct,1
肝mri,1
腹盆mri,1
盆mri,1
"全身,pet-ct",1
盆腹mri,1
全腹部ct,1
全身骨ect,1
or,1
胸腹mr,1
"全身骨显像+,骨断层显像",1
"胸部,ct",1
"胸、腹、,盆腔ct",1
腹部增强mri,1
胸椎正侧位,1
盆腹ct,1
肺腹ct,1
"胸+下腹,ct",1
腹盆腔b超,1
盆腔ct及petct,1
腹胸部ct,1
全腹ct+增强,1
颈部mri,1
颈部胸部ct,1
头ct,1
下消化道泛影葡胺造影,1
胸部、腹部ct,1
下消化道钡餐,1
头胸部ct,1
胸部ct平扫,1
下腹部ct平扫+增强,1
ct检查,1
下腹部彩超,1
锁骨下b超,1
"胸、腹部,ct",1
"盆腹,ct",1
颈胸部部ct,1
"盆腔mr平扫+,增强",1
乳腺超声,1
钼靶,1
"胸部、下腹、上腹部、盆腔,ct",1
ect,1
脑胸腹ct,1
颈部胸部下腹部上腹部盆腔ct,1
胸部+全腹部+盆腔ct,1
颈部及下腹部ct,1
增强mr,1
下消化道全程造影(dr)(钡剂),1
腹b超,1
"下腹部,ct",1
胸部ct提,1
左肩x片,1
腰骶部平扫,1
腹盆增强ct,1
上肢动静脉彩超,1
"胸、,下腹部ct",1
阴道彩超,1
腹盆腔mri,1
数字胃肠造影,1
心脏ct,1
钡餐透视,1
肝胆脾胰超声,1
胃肠道碘水造影,1
虑胃,1
下腹部增强ct,1
上腹部盆腔mri,1
ctu,1
尿酮体,1
盆腔彩超,1
chest叒x-ray,1
上肢深静脉彩超,1
髂总动脉cta,1
两上肢cta,1
心电监护,1
头颅及胸部ct,1
上肢动脉动脉造影,1
下腹ct平扫+增强,1
超声胃镜,1
x线,1
超声内镜,1
胆道造影,1
两上肢血管彩超,1
腹部增强mri+mrcp,1
床旁心电图,1
动态心电图,1
冠脉cta,1
肝脏mrs,1
头部mri,1
消化道造影,1
肝脏mr,1
"颈部,mri",1
"颈部+胸部,ct",1
hrct,1
"鼻咽、,颈部及下腹部ct",1
"腹、盆,ct",1
颈部ct,1
下腹mri,1
"颈胸腹部,ct",1
头颅(mri平扫+增强),1
肛周mr,1
上腹部ct,1
腹腔mri,1
头颈部cta,1
肝脏超声,1
头mri,1
颅脑mr,1
脑部mri,1
腹部(ct平扫+增强),1
胸部(ct平扫),1
spect,1
胸下腹ct,1
"腹盆叒,ct",1
腹盆腔强化ct,1
"腹盆腔、胸,ct",1
胆囊术后ct,1
"盆腔,ct",1
骨mri,1
脑dwi,1
腹部mri+mrcp,1
ctv检查,1
腹部血管cta,1
腹部ct增强,1
