term,frequency
胃癌根治术,30
胰十二指肠切除术,15
左半结肠切除术,14
乙状结肠癌根治术,14
直肠癌根治术,13
胃切除术,10
右半结肠切除术,7
气管插管,6
根治性左半结肠切除术,6
贲门癌根治术,5
剖腹探查术,5
气管切开,5
全胃切除术,5
直肠癌低位前切除术,5
腹腔镜上根治性远端胃大部切除术,5
腹腔镜上dixon术,5
腹腔镜上直肠癌根治术(dixon),4
剖腹探查,4
根治性全胃切除术,4
dixon术,4
直肠癌根治术(dixon),4
dixon手术,4
右前臂动静脉内瘘吻合术,4
腹腔镜上直肠癌根治术,4
腹腔镜左半结肠切除术,4
结肠癌根治术,4
tace术,4
骨髓穿刺,3
横结肠造瘘术,3
内镜上息肉切除术,3
介入术,3
横结肠造口术,3
腹腔镜上左半结肠根治性切除术,3
tace,3
胃癌根治术(远端胃大切),3
(远端)胃癌根治术,3
胆囊切除术,3
乙状结肠切除术,3
腹腔镜上乙状结肠癌根治术,3
腹腔镜上直肠癌根治术dixon,3
腹腔镜辅助上乙状结肠癌根治术,3
直肠癌根治术(dixon术),3
腹腔镜辅助上根治性全胃切除术,3
肝转移瘤微波消融术,3
直肠息肉切除术,3
腹腔镜上根治性全胃切除术,3
乙状结肠癌手术,2
rfa术,2
部分小肠切除术,2
腹腔镜上胃癌根治术,2
全子宫两附件大网膜阑尾切除、腹壁病灶切除术,2
腹腔镜宫颈癌根治术,2
胃空肠吻合+空肠侧侧吻合术,2
胃造瘘术,2
肝部分切除及胆囊切除术,2
结肠癌根治术+放射性粒子置入术,2
升结肠癌根治术,2
肝转移瘤微波固化术,2
胃癌手术,2
姑息性左半结肠切除术,2
乙状结肠根治术,2
食管中段癌切除+食管-胃底弓下吻合术,2
远端胃癌根治术,2
肝癌切除+胆囊切除术,2
腹腔镜上左半结肠切除术,2
介入手术,2
姑息性胰十二指肠切除术,2
阴道镜检查+宫颈活检,2
右前臂动静脉内瘘成形术及左颈内静脉置管术,2
阑尾切除术,2
腹腔镜上直肠癌根治术(miles),2
姑息性右半结肠切除术,2
近端胃癌根治术,2
盆腔淋巴结清扫术,2
腹腔镜dixon术,2
肠镜上息肉切除术,2
肿瘤细胞减灭术,2
食管癌根治术,2
肝动脉化疗栓塞术,2
肝癌切除术+胆囊切除术,2
