term,frequency
胃癌,88
直肠癌,77
腺癌,64
中分化腺癌,54
胃癌术后,50
直肠癌术后,49
低分化腺癌,37
肝硬化,36
粘液腺癌,23
食管癌,23
肝转移,23
冠心病,23
乙状结肠癌,23
慢性萎缩性胃炎,22
胃早癌,21
2型糖尿病,21
肠梗阻,21
胃窦癌,20
消化道出血,19
骨髓抑制,19
结肠息肉,19
结肠癌,19
十二指肠球炎,18
淋巴瘤,18
肺气肿,17
高血压,17
肺部感染,17
肾性贫血,16
乙状结肠癌术后,16
肝癌,16
结肠癌术后,16
肝囊肿,15
胆囊结石,14
重度贫血,14
印戒细胞癌,14
心包积液,14
g-6-pd酶缺乏症,13
慢性胆囊炎,13
静脉曲张,13
胃底静脉曲张,13
慢性丙型肝炎,13
消化道出血原因待查,13
子宫肌瘤,12
下消化道出血原因不能明确,12
结肠多发息肉,11
慢性肾脏病5期,11
下消化道出血,11
慢性胃炎,11
卵巢癌,11
糖尿病,11
肝转移瘤,11
脑萎缩,10
冠状动脉粥样硬化性心脏病,10
慢性非萎缩性胃炎,10
胸椎骨质增生,10
高血压肾病,10
胃溃疡,10
糖尿病肾病,10
胸腔积液,10
溶血性贫血,10
肝癌术后,10
贫血,9
脂肪肝,9
升结肠癌,9
直肠中分化腺癌,9
贲门癌,9
高血压心脏病,9
肺源性心脏病,9
左肾囊肿,9
反流性食管炎,8
食管癌术后,8
高血压性心脏病,8
宫颈癌,8
原发性肝癌,7
腹膜后lnm,7
胃炎,7
糖尿病眼病,7
肝功能不全,7
糖尿病周围神经病变,7
贫血性心脏病,7
慢性宫颈炎,7
中分化鳞状细胞癌,7
子宫平滑肌瘤,7
乙状结肠中分化腺癌,7
肠溃疡型管状腺癌ii级,7
胃息肉,7
宫颈癌术后,7
慢支炎,7
直肠腺癌,7
两侧胸腔积液,7
胆囊炎,7
中至低分化腺癌,7
高血压病,6
心力衰竭,6
胃恶性肿瘤,6
肝硬化失代偿期,6
胆总管结石,6
盆腔积液,6
失血性贫血,6
骨转移,6
胃间质瘤,6
鳞状细胞癌,6
浅表性胃窦炎伴糜烂,6
肾功能不全,6
尿路感染,6
手足综合症,6
子宫内膜癌,6
肺炎,6
肺转移,5
中低分化腺癌,5
乙状结肠腺癌,5
低分化鳞状细胞癌,5
卵巢癌术后,5
心包腔积液,5
左侧胸腔积液,5
间质瘤,5
脑梗死,5
心功能不全,5
呼吸衰竭,5
脑白质脱髓鞘改变,5
肺结核,5
支气管哮喘,5
前列腺增生,5
胃低分化腺癌,5
胃窦腺癌,5
肺癌,5
腔隙性脑梗死,5
鳞癌,5
胆石症术后,5
急性脑梗死,5
残胃癌,5
血糖升高,5
尿毒症,5
高分化腺癌,5
慢性阻塞性肺疾病,5
管状腺瘤,5
低分化癌,5
高血压3级很高危,4
原发性高血压3级极高危,4
肝内外胆管扩张,4
直肠息肉,4
吻合口瘘,4
肝多发囊肿,4
心房纤颤,4
降结肠癌,4
脑动脉供血不足,4
宫颈鳞癌,4
胃体癌,4
中分化鳞癌,4
腰椎骨质增生,4
肠息肉,4
不全性肠梗阻,4
窦性心律,4
食管息肉,4
房颤,4
腺瘤,4
消化道穿孔,4
主动脉及冠状动脉壁钙化,4
高级别下皮内瘤变,4
低蛋白血症,4
胃底贲门癌,4
结肠中分化腺癌,4
急性胆囊炎,4
浅表萎缩性胃炎,4
子宫切除术后,4
肠癌,4
营养不良,4
胃窦溃疡,4
结肠术后,4
胆管癌,4
右肾小囊肿,4
肺m,4
心功能iii级,4
腹痛待查,4
腹腔积液,4
胃恶性肿瘤术后,4
左侧肺癌,4
胃多发息肉,4
肝内多发转移瘤,4
直肠腺癌肝转移,4
吻合口炎,4
胆囊息肉,4
心律失常,4
大肠溃疡型管状腺癌ii级,4
肠套叠,4
乙肝后肝硬化失代偿期,4
胃窦癌术后,4
中度贫血,4
慢性阑尾炎,4
(直肠)溃疡型中分化管状腺癌,3
肝多发转移,3
淋巴结转移,3
粘连性肠梗阻,3
结肠腺癌(中低度分化),3
心房颤动,3
右室收缩功能减退,3
乙状结肠术后,3
胃癌伴出血,3
宫颈低分化鳞状细胞癌,3
副脾,3
肝肿瘤,3
胃癌综合治疗后,3
胃癌转移,3
管状-绒毛状腺瘤,3
不全肠梗阻,3
子宫平滑肌肉瘤,3
肝内外胆管结石,3
乙状结肠粘液腺癌,3
肠隆起型绒毛状-管状腺癌ii级,3
盲肠癌,3
肝恶性肿瘤术后,3
胃底间质瘤,3
肝脏转移瘤,3
十二指肠球炎伴糜烂,3
十二指肠球部息肉,3
胃ca术后,3
十二指肠腺癌术后,3
错构瘤,3
直肠术后,3
宫颈中分化鳞癌,3
ciniii级,3
黏液腺癌,3
室下性心动过速,3
直肠癌伴肝转移,3
重度营养不良,3
胆囊多发结石,3
直肠癌肝转移,3
慢性支气管炎急性发作,3
阑尾慢性炎,3
幽门梗阻,3
浅表性胃窦炎,3
食管溃疡型鳞状细胞癌ii级,3
胰腺癌,3
高脂血症,3
胃印戒细胞癌,3
低分化鳞癌,3
囊肿,3
胃ca,3
下腔静脉栓塞,3
(左半结肠)腺癌,3
结节性肝硬化,3
"(直肠)腺癌(中度分化),浸润溃疡型",3
乳头状腺癌,3
原发性高血压3级叒很高危,3
鳞状下皮高级别下皮内瘤变,3
胃腺癌,3
两上肺感染,3
胃大部切除术后,3
炎症性肠病,3
梗阻性黄疸,3
胃角溃疡,3
(胃窦)慢性萎缩性胃炎(中度),3
hsil,3
直肠肿瘤,3
中分化肝细胞性肝癌,3
右肺上叶炎症,3
扩张型心肌病,3
左卵巢囊肿,3
浅表性胃炎,3
甲状腺功能减退,3
慢性心功能不全,3
慢性阻塞性肺疾病急性加重期,3
食管胃交界溃疡型管状腺癌ii-iii级,3
贲门腺癌,3
右室舒张功能减退,3
肝内外胆管结石伴急性胆管炎,2
宫颈腺癌ib1期,2
慢性胰腺炎急性发作,2
"左叶肝细胞性肝癌,中分化",2
hcc,2
胃窦大弯侧腺癌(中-低度分化),2
子宫腺肌症,2
胸中段食管癌,2
胆囊切除术后,2
胃窦炎,2
溃疡性结肠炎,2
冠状动脉粥样硬化心脏病,2
肝神经内分泌肿瘤术后,2
食管上段癌,2
十二指肠球部溃疡,2
胃间质瘤术后,2
大肠乳头状管状腺瘤,2
肝小囊肿,2
结肠癌转移,2
结肠脾曲癌,2
筛状粉刺型腺癌,2
ii度骨髓抑制,2
残胃炎,2
"(直肠)中分化腺癌,溃疡型",2
直肠多发息肉,2
套细胞淋巴瘤,2
胃窦巨大溃疡,2
贲门炎,2
溃疡型中分化腺癌,2
(直肠)大肠溃疡型管状腺癌ii级,2
乙状结肠溃疡型中分化管状乳头状腺癌,2
胰腺占位,2
胃mt,2
鳞状细胞癌转移,2
横结肠癌,2
左股骨头骨岛,2
浸润性导管癌,2
食管胸中上段癌,2
结节性甲状腺肿,2
"肝母细胞瘤,下皮型(胎儿及胚胎型)",2
肝母细胞瘤,2
滑膜肉瘤,2
胃潴留,2
"印戒细胞癌,弥漫型",2
肠癌肝转移,2
肝功异常,2
直肠高分化腺癌,2
卵巢囊肿,2
肝内胆管癌,2
肝内胆管扩张,2
胆管细胞癌,2
胃角低分化腺癌,2
腹主动脉粥样硬化,2
慢性腺性胆囊炎,2
心包少量积液,2
胰头癌,2
两肺多发转移瘤,2
胃肠间质肿瘤,2
右上肢大隐静脉曲张,2
黑色素瘤,2
感染性休克,2
轻度贫血,2
左乳癌术后,2
急性肾损害,2
血小板减少性紫癜,2
缺铁性贫血,2
血小板减少,2
快速型房颤,2
右室收缩功能正常,2
肺癌伴全身多处转移,2
肝多发小囊肿,2
十二指肠间质瘤,2
"进展期胃癌,中、低分化腺癌及粘液腺癌",2
两肺感染性病变,2
食管鳞癌,2
直肠溃疡型中分化腺癌,2
肝脏病变,2
肝门部胆管癌,2
血管瘤,2
两侧基底节区腔隙性脑梗死,2
恶性黑色素瘤,2
不完全性肠梗阻,2
快速性房颤,2
慢性结肠炎,2
糖尿病植物神经病变,2
腹泻,2
乙肝肝硬化,2
窦性心动过缓,2
主动脉壁及冠状动脉壁钙化,2
窦性心动过速,2
胰腺肿瘤,2
aecopd,2
慢性肺源性心脏病,2
主动脉硬化,2
宫颈纳氏囊肿,2
两肺中上野感染,2
两肾囊肿,2
前列腺增生症,2
前列腺钙化,2
咳嗽待查,2
老年痴呆,2
轻度食管静脉曲张可能,2
转移性腺癌,2
