term,frequency
奥沙利铂,171
希罗达,113
替吉奥,76
紫杉醇,63
顺铂,60
替加氟,54
亚叶酸钙,51
卡培他滨,40
多西他赛,34
氟尿嘧啶,29
5-fu,27
伊立替康,27
乐沙定,24
艾恒,22
洛铂,22
吉西他滨,20
安素泰,19
卡铂,18
奈达铂,17
xeloda,16
s-1,16
贝伐珠单抗,15
bev,15
cf,12
力朴素,12
速效救心丸,12
奥美拉唑,11
ddp,11
格列卫,10
伯尔定,10
里葆多,10
表柔比星,9
泰素,9
安维汀,9
多帕菲,8
环磷酰胺,8
艾奕,8
呋塞米,7
avastin,7
碘油,7
胰岛素,7
泰欣生,7
卡培他滨片,7
c225,6
善龙,6
格列美脲,6
oxa,6
泮托拉唑,6
力扑素,6
齐沙,6
来得时,5
thp,5
s1,5
二甲两胍,5
爱斯万,5
地塞米松,5
舒普深,5
爱必妥,5
表阿霉素,5
替吉奥胶囊,5
泽菲,4
头痛粉,4
格列齐特,4
ts-1,4
美托洛尔缓释片,4
阿司匹林肠溶片,4
健择,4
诺和锐30,4
多索茶碱,4
ptx,4
阿司匹林,4
贝伐,4
艾素,4
gem,4
阿卡波糖,4
长春新碱,4
螺内酯,4
恩度,4
txt,4
吗丁啉,4
雷替曲塞,4
方克,4
cpt-11,4
甲泼尼龙,3
替米沙坦,3
络活喜,3
优思林,3
硝苯地平缓释片,3
氨氯地平,3
诺和锐,3
伏格列波糖,3
消炎利胆片,3
甲硝唑,3
开塞露,3
恩替卡韦片,3
罗格列酮,3
门冬氨酸鸟氨酸,3
甘利欣,3
莫西沙星,3
还原型谷胱甘肽,3
华法林,3
恩替卡韦分散片,3
vcr,3
云南白药胶囊,3
强力枇杷露,3
维康达,3
波贝,3
奥曲肽,3
头孢替安,3
ctx,3
5fu,3
肿瘤坏死因子,3
特素,3
硝酸甘油,3
来曲唑,3
丝裂霉素,3
奥铂,3
右亚叶酸钙,3
依托伯苷,2
g-csf,2
生长抑素,2
右氧氟沙星,2
博莱霉素,2
斑蝥胶囊,2
膜固斯达,2
氯吡格雷,2
泰勒宁,2
溴己新,2
维拉帕米,2
头孢呋辛,2
普美显,2
卡培他滨(希罗达),2
奥沙利铂(艾恒),2
多瑞吉,2
西地兰,2
氨茶碱,2
奥先达,2
沙丁胺醇气雾剂,2
帕尼单抗,2
雷贝拉唑,2
美沙拉嗪,2
培美曲赛,2
盐酸吉西他滨,2
无水酒精,2
紫杉醇脂质体,2
鲁贝,2
安达,2
伏立康唑,2
阿莫西林,2
托烷司琼,2
阿卡波糖片,2
醋酸泼尼松,2
泰能,2
单硝酸异山梨酯,2
麝香保心丸,2
伊力替康,2
同奥,2
兰瑞肽,2
铝碳酸镁片,2
始希罗达,2
安斯菲,2
兰索拉唑,2
埃索美拉唑肠溶胶囊,2
生理盐水,2
北华素,2
单硝酸异山梨酯缓释片,2
依替米星,2
胸腺五肽,2
可达龙,2
泰素帝,2
多柔比星脂质体,2
多柔比星,2
甘露醇,2
洛赛克,2
开普拓,2
伊马替尼,2
疏血通,2
瑞白,2
奥硝唑,2
头孢他啶,2
氟尿苷,2
厄贝沙坦氢氯噻嗪,2
行乐沙定,2
拜阿司匹林,2
盐酸伊立替康,2
伊利替康,2
神经节苷酯,2
低分子肝素钙,2
氟伐他汀钠缓释片,2
碘化油,2
消渴丸,2
沐舒坦,2
曲美他嗪,2
厄贝沙坦,2
阿托伐他汀,2
异环磷酰胺,2
阿托伐他汀钙,2
格列齐脲,1
铜绿假单胞菌注射液,1
铂乐定,1
ifp,1
